title,company,district,classification,work-type,description
Mobile Banking (FinTech): Senior BA / BA - Major Bank,IT Solutions Ltd.,Hong Kong,Programme & Project Management (Information & Communication Technology),Full time,"We are searching on behalf of aMajor Bankfor a number of high-calibreSenior Business Analysts /  Business Analyststo work onMobileBanking FinTech Digital Projects.Responsibilities:Discuss with eBanking users and study latest technology and industry trendsAnalyse user and market requirementsPrepare user requirements specificationsDiscuss with IT developers and vendorsCoordinate user acceptance test and user trainingRequirements:Degree in any disciplines, prefer Computer Science or Business StudiesExperience in business analysis / UAT / IT Project ManagementKnowledge & experience in Banking Systems is a big plusStrong spoken and written communications skills in English and ChineseFresh Graduates or less experience will be considered as Junior positionBenefits:Attractive remuneration will be offered to the successful candidatesExcellent opportunity to further develop your professional skills in the exciting e-Banking field in a Major BankIf you are interested, please send your resume in MS Word format, specifying your availability, current and expected salaries to:jobs @itsolutions.com.hkorPlease click the Apply Now button and attach your cv in MS Word Format, specifying your availability, current and expected salaries.Personal data collected will be used for recruitment purposes only.IT Solutions Ltd.Suite 210221/F Lucky Building39 Wellington StreetCentral, Hong Kong(P.S. We do not process applications from overseas for this position)Company OverviewIT Solutions Ltd., established in 1998, is a professional Search Firm specializing in recruitment services of IT professionals for Large Corporations in Hong Kong. For more than 26 years, we have been working with our corporate clients from Banking & Financial Sector, SI, Multinational Corporations and Hong Kong Government Departments.Our know-how covers all aspects of IT services, including all varieties of technologies of Application Development from old to the latest technologies, Data Scientist, Business Analysis, QA & Project Management, as well as all aspects of IT Infrastructure on all platforms, network and security.If you are in the IT field, whether a seasoned IT Professional or a fresh  graduate contemplating a career in IT, do not hesitate to contact us for your career development. We are eager to assist you and to discuss job opportunities with you."
"Junior Business Analyst (20-22k, fresh grad is welcome) (Ref_3489)",TalentQuest HR Limited,Central and Western District,Business/Systems Analysts (Information & Communication Technology),Full time,"Our client is a Hong Kong listed company and got various projects ongoing at the moment. They are now hiring two Junior Business Analysts to join their team.Responsibilities:Gather business requirements from clients and transform the requirements into technical specAssist Project Managers to make sure the projects are delivered on timeConduct UAT for applications and systemsRequirements:University Degree from any disciplinesNative in Cantonese, fluent in EnglishPrior experience in the Information Technology sector will be an advantage"
Data Scientist (up to 80K),Manpower Services (Hong Kong) Limited,Hong Kong Island,"Mathematics, Statistics & Information Sciences (Science & Technology)",Full time,"Responsibilities:Lead data scientist team members in the development of new insights, advanced modeling techniques, new data products, and data science capabilitiesDevise and utilize algorithms and models to mine big data sets, perform data and error analysis to improve models, and clean and validate data for uniformity and accuracyIdentify relevant data sources and sets to mine for client business needs, and collect large structured and unstructured datasetsExpertise in applying large language models to contribute to the development and enhancement of advanced natural language processing systemsPlay a pivotal role in designing and fine-tuning large language model to ensure optimal performance across various applicationsRequirements:AMaster’s degreeor PhD in Statistics, Machine Learning, Mathematics, Computer Science, EconomicsStrong technical understanding ofMartechandAdtechis preferredAnalyzing and manipulating large, complex, high-dimensional data from numerous sourcesExperience of Deep Learning projects:NLP & neural network.  Experience in open source projects such as huggingface and spaCy is preferredExperience working with distributed computing tools such asHadoopas well as experience working in a cloud environmentInterested parties please send your full resume with your current and expected salary by clicking  'Apply Now'"
Junior Business Analyst - Business Solutions,B.S.C. Group Limited,"Chai Wan, Eastern District",Business/Systems Analysts (Information & Communication Technology),Full time,"OverviewWe are seeking a motivated and detail-oriented Junior Business Analyst to join our vibrant Business Solution Team. This entry-level position offers an exciting opportunity for a candidate to learn and grow in the field of business analysis. The Junior Business Analyst will work closely with senior team members to assist in analyzing business processes, gathering requirements, and contributing to the successful implementation of business solutions.Key ResponsibilitiesRequirement Gathering and Documentation:Collaborate with senior team members to gather and document business requirementsAssist in the preparation of comprehensive project documentationData Analysis Support:Work with data analysts to analyze and interpret data setsContribute to ensuring data quality and accuracyProcess Mapping Assistance:Support the mapping of current business processes and assist in identifying areas for improvementContribute to the design of optimized business processesStakeholder Communication:Facilitate communication between business and technical teamsAssist in conducting status meetings and providing updates on project progressTesting and Validation Support:Assist in the development of test cases and participate in user acceptance testingValidate that solutions meet business requirements and address identified issuesDocumentation Maintenance:Maintain and update project documentation, ensuring its accuracy and relevanceEnsure documentation is accessible to relevant stakeholdersLearning and Development:Actively engage in learning opportunities to enhance business analysis skillsSeek mentorship from senior team members to accelerate professional growthQualificationsBachelor's degree in Business Administration, Information Technology, or a related fieldMinimum 1 year of relevant working experienceStrong analytical and problem-solving skillsExcellent communication and interpersonal skillsEagerness to learn and contribute to a collaborative team environmentBasic understanding of project management methodologies and toolsExposure to CRM, ERP, or BI concepts is a plusWe offer attractive remuneration package and comprehensive fringe benefits including5-day work week, 14-day of annual leave, medical insurance and discretionary bonusto the right candidate.Interested parties please apply with full resume and expected salary toHuman Resources Department, 19th Floor, Sino Favour Centre, 1 On Yip Street, Chaiwan, Hong Kong, or by clicking the 'Apply Now' below. For more information about us, please visit our website http://www.bschk.com.Personal data collected will be used for recruitment purpose only."
Junior Data Analyst ( Multiple openings),Robert Walters (HK) Ltd,Central and Western District,Business/Systems Analysts (Information & Communication Technology),Full time,"-Responsibilities* Work with data owners on processes to enable and ensure data quality, evangelizing the importance of good data hygiene* Streamline and automate internal process to ensure efficient and effective data generation and analytics processes are in place. Drive continuous improvement in the team's output in terms of quality and efficiency.* Partner with regional stakeholders to identify areas of optimization in data discovery, ETL, storage, enrichment, and usage* Be a subject matter expert in data to support the increasing demands from business and other analytics / data science teamsRequirements* 1-3 years of data analytics experience in with hands on experience in Python and SQL/ SAS* University graduate majoring in mathematics, statistics, business analytics, information system, computer science, or other related discipline* Strong ability to analyze and interpret business and financial data* Knowledge in building dashboard by using Tableau, Power BI or any equivalent tools would be an advantage"
Data Engineer,Morgan Mckinley Limited,New Territories,Engineering - Software (Information & Communication Technology),Full time,"About the companyOne of the innovation and Technology Development company.About the roleLooking for Jr. Data EngineersResponsibilitiesDesign and develop a web-based user portal to support system integration.Perform data preparation, cleansing, and visualization using Azure OpenAI and Power BI.Discover and evaluate new technologies to support business needs and strategy, and work closely with product managers, designers, and developers to build highly scalable and available products.Follow the priority of project managers in the entire Agile SDLC to ensure project objectives are achieved on time, and perform unit and system integration testing with happy and exceptional cases.RequirementsBachelor's degree in Computer Science, Information Technology, Software Engineering, Data Science, or a related discipline.Minimum 3 years of experience, preferably in application development.Solid experience in .NET, Node.js, JavaScript, Python, and SQL programming.Knowledge of ETL (Extract, Transform, Load), data pipeline, and data model implementation is required. Hands-on experience with cloud and data platforms, such as Azure, Databricks, and Power BI, is a plus.ApplicationAny questions, please feel free to contact Sarika at3907 3912, quoting ref no: JN -082024-1966726"
Internet & Mobile Banking: BA /Junior BA - Major Bank,IT Solutions Ltd.,Hong Kong,Corporate Finance & Investment Banking (Banking & Financial Services),Full time,"We are searching on behalf of aMajor Bank, one of the largest bank in Hong Kong,for a number of high-calibreBusiness Analysts / Junior Business Analyststo work onInternet & Mobile Bankingrelated projects (For Example: Mobile Payment).Responsibilities:Discuss with eBanking users and study latest technology and industry trendsCollect and analyse user and market requirementsPrepare user requirements specificationsDiscuss with IT developers and vendorsCoordinate user acceptance test and user trainingRequirements:Degree in any disciplines (Computer Science, Business, Finance or related disciplines is a plus)1-3 years experience in Business Analysis / UAT / IT Project ManagementSelf-Motivated and well-organizedGood spoken and written communications skills in both English and Chinese (Cantonese & Mandarin)Candidate with less/no relevant experience will also be considered for a junior Business AnalystBenefits:Attractive remuneration will be offered to the successful candidatesExcellent opportunity to further develop your professional skills in the exciting e-Banking field in a Major BankIf you are interested, please send your resume in MS Word format, specifying your availability, current and expected salaries to:jobs @itsolutions.com.hkorPlease click the Apply Now button and attach your cv in MS Word Format, specifying your availability, current and expected salaries.Personal data collected will be used for recruitment purposes only.IT Solutions Ltd.Suite 210221/F Lucky Building39 Wellington StreetCentral, Hong Kong(P.S. We do not process applications from overseas for this position)Company OverviewIT Solutions Ltd., established in 1998, is a professional Search Firm specializing in recruitment services of IT professionals for Large Corporations in Hong Kong. For more than 26 years, we have been working with our corporate clients from Banking & Financial Sector, SI, Multinational Corporations and Hong Kong Government Departments.Our know-how covers all aspects of IT services, including all varieties of technologies of Application Development from old to the latest technologies, Data Scientist, Business Analysis, QA & Project Management, as well as all aspects of IT Infrastructure on all platforms, network and security.If you are in the IT field, whether a seasoned IT Professional or a fresh graduate contemplating a career in IT, do not hesitate to contact us for your career development. We are eager to assist you and to discuss job opportunities with you."
Assistant Software Engineer (Data Management/Data Analytics),IT Channel (Asia) Limited,"Tsim Sha Tsui, Yau Tsim Mong District",Engineering - Software (Information & Communication Technology),Full time,"About usIT Channel is a local Solutions Integrator company founded in 2003 providing and delivering sophisticated technology solutions to multinational corporations and local enterprises. To cope with our expanding business, we are looking for high calibre professionals joining our professional services team. If you believe yourself a confident professional willing to take challenges, send us your resume.Qualifications & experienceDegree holder in Computer Science, Information Systems, or equivalent combination of educationRelevant working experience in data analytics, data management domains will be an advantage. Fresh graduates also welcomed.Good concept and foundation skills on software development or data analytics domainSQL development experience is essentialStrong enthusiasm in taking up new technologiesSelf-motivated and good problem-solving skillsQuality and achievement orientedYou will have an advantage if you have knowledge in Data Visualization, Big Data, Business Intelligence, Data Warehouse and Data ManagementTasks & responsibilitiesPrimarily performing technical development tasks in projectsDevelop technical solutions using different technologies to meet agreed requirementsPrepare technical and functional specifications documentProvide technical and functional consultancy to clientsMeet and work with clients to collect business requirementsBenefits5 days' work weekMedical Expenses ClaimBirthday LeaveFlexible working hours"
Data Science Lead,Michael Page International (HK) Ltd,Central and Western District,Team Leaders (Information & Communication Technology),Full time,"Large commercial enterprisePython, AWS Sagemaker, Tableau, Langchain, LLMAIOps, MLOps,data model, GPT, TensorflowBuild data/ ML modelsDigital transformationTeam leadershipMultinational CultureClient DetailsOur client is a large commercial firm with business across the globe. The role would be leading a team of data analyst and engineer on big data analytics and enterprise digital transformation.DescriptionManage a team of Data Analyst Science and Engineer to drive data-driven and innovative solutions, and advising on analytics and AI strategies for businesses, including IoT and compliance.Direction and Strategies on Analytics Platform in ERP.Lead end-to-end development and management of the Analytics Platform, from inception to external launch.Drive a data literacy training program to promote a data-driven culture internationallyImplement automation within the Centralized Data Analytics Platform, such as DataOps and MLOps.Play a critical role at the forefront of digital transformation.Develop a company-wide Generative AI Chatbot program (GPT), to enhance working efficiencies and process (LLM, GCP PaLM, Vertex AI with Langchain Integration Framework).Sustainable Analytics Program - Collaborated with Compliance team to develop efficient analytics tools aimed at achieving sustainability.Risk Management Analytics - Implemented analytics solutions to ensure compliance with international standards, prevent critical incidents that could disrupt business operations, result in goods losses, or cause time deferrals due to inspections.People Analytics - Integrated Recommender and visualization add-ins into our ERP to facilitate swift manpower allocation for ad-hoc manpower replacements and newly formed teams.Profile- Bachelor's in Computer Science, Data Science or relevant disciplines- 8+ years experience in Data Science and Analytics- Hands on with Python- Strong in building big data/ ML models and dashboard development (Tableau)- Experience in MLOps and AIOps- Well versed with GPT-4, Langchain, AWS Sagemaker, Hive Presto unstructured database, Tensorflow, sklearn is preferred- Experience in team leadership- Experience in working in dynamic and multinational environment- Aviation/ Industrial/ Manufacturing background is a plus- Good command in Chinese and EnglishJob OfferOur client provides attractive compensation with sustainable career path to the candidate.To apply online please click the 'Apply' button below. For a confidential discussion about this role please contact Eliza Lai on+852 2848 4741."
Junior Business Analyst,Daily Credit Management Limited,"North Point, Eastern District",Analysis & Reporting (Banking & Financial Services),Full time,"Requirements:Degree Holder.Fresh University Graduates are preferred.Good command of written and spoken English and Chinese (Cantonese & Putonghua)Well-versed with local major corporate sectors.Good interpersonal and analytical skill.Ability in compiling credit reports is advantageous.* Working Days : 5 days/week;* Lunch Allowance: HK$1,300 ; Other Allowance : 5% of Salary"
Systems Analyst ( AI projects),Robert Walters (HK) Ltd,Central and Western District,Developers/Programmers (Information & Communication Technology),Full time,"-Responsibilities:Develop, enhance, and provide supports to existing systems and applications (Java/ Mobile App/ Web);Integrate AI products to automate processes and improve efficiencyParticipate in the full development lifecycle: requirements gathering, analysis, web/ system/ mobile apps design and development, testing and maintenance supportAssist team lead to prepare system specifications and documentationCollaborate with other IT teams, vendors and system implementersRequirements:A bachelor's degree in information technology, computer science, or a related disciplineAt least 6 years of post-qualification experience in application developmentExperience in either Web or Mobile Application developmentDevelopment of web, and mobile application with technologies like React, React Native, Node.js, PHP, Java, Python and Javascript, etc;Utilize web application servers such as Oracle Weblogic Server, IBM Websphere Server, and Apache;Database management and operations with tools like MSSQL, and NoSQL DB;System Integration / development of AI-related products; and Agile development, CI/CD, and DevOps;"
Data Scientist,UDomain Web Hosting Co Ltd,"Kwun Tong, Kwun Tong District",Database Development & Administration (Information & Communication Technology),Full time,"We are a professional IT solutions company and passionate about the latest technology (e.g. AI chat) and keep learning and experiment with pioneer projects. We provide competitive salary package with benefits including 5-day work week, group medical insurance, birthday/ staff anniversary/ marriage/ annual leave/ full-paid sick leave and other benefits to the right candidates.We are now looking for the experienced Data Scientist to join our dynamic team.As a Data Scientist, you will be responsible for:Developing data models for integration and analysisCollecting, cleaning, and preprocessing data for analysisInterpreting and communicate findings to non-technical stakeholdersCollaborating with cross-functional teams to drive data-driven decision-makingStaying updated on the latest trends and technologies in the field of data scienceYou are required to have:Bachelor's degree in Computer Science or related fieldAt least 3-5 years of experience applied data scientist in a business environmentProficiency in Python and SQL, etc.Experience in data processing and data modellingAble to write clean and maintainable codeStrong problem-solving skills and effective communicationInterested parties please send us your full resume with portfolio and expected salary.(Personal data collected would be used for recruitment purpose only)"
Data Specialist,JFE Consulting Limited,"Central, Central and Western District",Database Development & Administration (Information & Communication Technology),Full time,"ResponsibilitiesDevelop new applications using existing data sets to create innovative products or enhance existing services.Maintain and optimize existing applications by updating code or adding new features to meet evolving requirements.Collaborate closely with cross-functional teams, including data analysts, data scientists, and IT professionals, to identify business needs and translate them into practical data engineering solutions.Leverage data visualization tools, particularly Qlik Sense, to present complex data insights to clients, enabling them to make informed decisions based on accurate and reliable information.Employ analytics tools, such as Alteryx, to extract valuable insights from extensive datasets and provide actionable recommendations to clients.Ensure the quality, integrity, and security of data throughout the entire data lifecycle, applying robust database concepts and data modelling expertise.RequirementsBachelor's degree in computer science, Information Technology, Mathematics, Statistics, or a related field.Minimum 3 years of hands-on experience in data engineering, preferably within a consulting environment.Profound understanding of database concepts and data modelling principles.Strong proficiency in programming languages, especially Python and Spark.Proficiency in analytics and query tools, e.g., Alteryx.Familiarity with statistical analysis tools.Extensive experience with data visualization tools such as Qlik Sense.Experience with cloud platforms like AWS or Azure, and proficiency in using AWS SageMaker.Excellent communication and interpersonal skills.Ability to work independently and as part of a team.Experience with software development methodologies and tools.Fluency in Cantonese and English.Consideration will be given to candidates with less experience as Junior Data Engineers."
"Data Scientist (Python, SQL)",Tenth Revolution Group,Central and Western District,Business/Systems Analysts (Information & Communication Technology),Full time,"Job DescriptionMy client is a global leading company in the maritime and shipping industry that is also currently a listed-firm is Hong Kong. They are currently seeking a Data Scientist to join their expanding IT data team to build data modelling, develop and enhance machine learning to drive continuous business growth.Role & ResponsibilitiesIdentify and address current business problems by using data-driven techniquesCollaborate with the business to translate unstructured business questions into quantitative problemsAnalyze raw data to find patterns to check data quality and provide useful business insightsEvaluate machine learning algorithms and models, and provide technical recommendations to enhance business workflowsPresent findings and workable solutions to both technical and non-technical stakeholdersSkills & QualificationsDegree Holder in Science or Engineering or equivalent.At least 3-5 years of experience applied data scientist in a business environmentProficiency in Python and SQLExperience with developing machine learning model and running machine learning in production, MLOpsUnderstanding of probability and statistics, with ability to think from first principlesExperience within shipping or transportation sector is an advantageProficiency in both written and spoken English, preferably experience of working in a regional settingsAttractive salary and fringe benefits will be offered to the successful candidates! If you are interested and qualified, please kindly send your resume to[email protected]or reach me (Racheal Leow) at+852 3008 3863."
Business Analyst / Junior Business Analyst (Finance Team),Manulife (International) Limited,"Ngau Tau Kok, Kwun Tong District",Fund Administration (Insurance & Superannuation),Full time,"This isNOTDATA /DIGITAL /IT positionMaintain and develop trusted, long-term relationship with key clients.By meeting defined goals and objectives, ensuring the result solution benefits the clients.Analyze our client needs, provide comprehensive financial and investment advice to clients including asset allocation, retirement planning, estates planning and risk management.Forecasts and analyse Manulife's fund products and performanceUnderstanding the integral parts of the business system and activitiesDetermine the high-profitable segments and able to share with clientsEstablish and maintain long-term relationships with clients and engage clients in core business analyst activitiesIdentify and recommend the high profitable segmentsMonitor and review investment portfoliosRequirements:Hong Kong citizens or work permit holder is a must, IANG/TTPS holders are welcomeUniversity graduateSelf-motivated, independent worker, excellent presentation skills with the ability to work under pressureFluent in spoken Cantonese, Putonghua and EnglishWe offer:5-days work and attractive remuneration package (HK$28K or HK$48,000) ∙ Professional training program including mentor support and  leadership workshopMedical scheme and other allowanceIncentive Trips & Overseas ConferencesExcellent career path and fast-track advancement opportunities"
